game_id,season,date_game,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,start_time,source,start_time_local,start_tz_abbr,start_time_iso,display_date,start_time_local_venue,start_tz_abbr_venue,pair_key,event_id,book,market,period,commence_time,last_update,home_team_name,away_team_name,moneyline_home,moneyline_away,home_spread,home_spread_price,away_spread,away_spread_price,total,over_price,under_price,date_line,_day_diff,partial_pair,pred_total_full,pred_margin_full,pred_total_1h,pred_total_2h,pred_margin_1h,pred_margin_2h,pred_total,pred_margin,edge_total,edge_margin,edge_total_pct,edge_margin_pct,kelly_fraction_total,home_ml_prob_market,away_ml_prob_market,home_ml_prob_fair,away_ml_prob_fair,kelly_fraction_ml_home,kelly_fraction_ml_away,home_ml_ev,away_ml_ev,home_ml_b,away_ml_b
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,BetMGM,h2h,2h,2025-12-13 01:30:00+00:00,2025-12-12 15:50:13+00:00,McNeese Cowboys,East Texas A&M Lions,-5000.0,1400.0,,,,,,,,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,76.31857,3.3648345,,,,,,0.9803921568627451,0.06666666666666667,0.6179109467550354,0.38208905324496456,-1.0,0.33795255704817634,-0.36973083430986386,4.731335798674468,0.02,14.0
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,BetMGM,spreads,full_game,2025-12-13 01:30:00+00:00,2025-12-12 15:50:13+00:00,McNeese Cowboys,East Texas A&M Lions,,,-20.5,-105.0,20.5,-115.0,,,,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,140.03914,3.8272452,,-16.6727548,,-0.8133051121951219,,,,0.6333810787517955,0.3666189212482045,,,,,,
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,BetMGM,totals,full_game,2025-12-13 01:30:00+00:00,2025-12-12 15:50:13+00:00,McNeese Cowboys,East Texas A&M Lions,,,,,,,142.5,-105.0,-115.0,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,140.03914,3.8272452,-2.4608599999999967,,-0.017269192982456116,,-0.08202866666666656,,,0.6333810787517955,0.3666189212482045,,,,,,
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,BetOnline.ag,spreads,full_game,2025-12-13 01:30:00+00:00,2025-12-12 15:50:29+00:00,McNeese Cowboys,East Texas A&M Lions,,,-20.0,-113.0,20.0,-107.0,,,,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,140.03914,3.8272452,,-16.1727548,,-0.80863774,,,,0.6333810787517955,0.3666189212482045,,,,,,
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,BetOnline.ag,totals,full_game,2025-12-13 01:30:00+00:00,2025-12-12 15:50:29+00:00,McNeese Cowboys,East Texas A&M Lions,,,,,,,142.5,-110.0,-110.0,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,140.03914,3.8272452,-2.4608599999999967,,-0.017269192982456116,,-0.08202866666666656,,,0.6333810787517955,0.3666189212482045,,,,,,
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,BetRivers,h2h,2h,2025-12-13 01:30:00+00:00,2025-12-12 15:51:02+00:00,McNeese Cowboys,East Texas A&M Lions,-5000.0,1150.0,,,,,,,,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,76.31857,3.3648345,,,,,,0.9803921568627451,0.08,0.6179109467550354,0.38208905324496456,-1.0,0.32835766657061366,-0.36973083430986386,3.776113165562057,0.02,11.5
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,BetRivers,spreads,full_game,2025-12-13 01:30:00+00:00,2025-12-12 15:51:02+00:00,McNeese Cowboys,East Texas A&M Lions,,,-20.5,-112.0,20.5,-112.0,,,,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,140.03914,3.8272452,,-16.6727548,,-0.8133051121951219,,,,0.6333810787517955,0.3666189212482045,,,,,,
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,BetRivers,totals,full_game,2025-12-13 01:30:00+00:00,2025-12-12 15:51:02+00:00,McNeese Cowboys,East Texas A&M Lions,,,,,,,142.5,-114.0,-109.0,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,140.03914,3.8272452,-2.4608599999999967,,-0.017269192982456116,,-0.08202866666666656,,,0.6333810787517955,0.3666189212482045,,,,,,
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,Bovada,spreads,full_game,2025-12-13 01:30:00+00:00,2025-12-12 15:42:15+00:00,McNeese Cowboys,East Texas A&M Lions,,,-19.5,-110.0,19.5,-110.0,,,,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,140.03914,3.8272452,,-15.6727548,,-0.8037310153846153,,,,0.6333810787517955,0.3666189212482045,,,,,,
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,Bovada,totals,full_game,2025-12-13 01:30:00+00:00,2025-12-12 15:42:15+00:00,McNeese Cowboys,East Texas A&M Lions,,,,,,,140.5,-110.0,-110.0,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,140.03914,3.8272452,-0.4608599999999967,,-0.003280142348754425,,-0.015361999999999891,,,0.6333810787517955,0.3666189212482045,,,,,,
