game_id,season,date_game,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,start_time,source,start_time_local,start_tz_abbr,start_time_iso,display_date,start_time_local_venue,start_tz_abbr_venue,pair_key,event_id,book,market,period,commence_time,last_update,home_team_name,away_team_name,moneyline_home,moneyline_away,home_spread,home_spread_price,away_spread,away_spread_price,total,over_price,under_price,date_line,_day_diff,partial_pair,pred_total_full,pred_margin_full,pred_total_1h,pred_total_2h,pred_margin_1h,pred_margin_2h,pred_total,pred_margin
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,Caesars,h2h,2h,2025-12-13 01:30:00+00:00,2025-12-12 15:45:21+00:00,McNeese Cowboys,East Texas A&M Lions,-4000.0,1450.0,,,,,,,,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,76.31857,3.3648345
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,Caesars,spreads,full_game,2025-12-13 01:30:00+00:00,2025-12-12 15:45:21+00:00,McNeese Cowboys,East Texas A&M Lions,,,-20.0,-110.0,20.0,-110.0,,,,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,140.03914,3.8272452
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,Caesars,totals,full_game,2025-12-13 01:30:00+00:00,2025-12-12 15:45:21+00:00,McNeese Cowboys,East Texas A&M Lions,,,,,,,142.0,-110.0,-110.0,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,140.03914,3.8272452
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,DraftKings,spreads,full_game,2025-12-13 01:30:00+00:00,2025-12-12 15:50:24+00:00,McNeese Cowboys,East Texas A&M Lions,,,-20.5,-102.0,20.5,-118.0,,,,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,140.03914,3.8272452
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,DraftKings,totals,full_game,2025-12-13 01:30:00+00:00,2025-12-12 15:50:24+00:00,McNeese Cowboys,East Texas A&M Lions,,,,,,,141.5,-115.0,-105.0,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,140.03914,3.8272452
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,FanDuel,h2h,2h,2025-12-13 01:30:00+00:00,2025-12-12 15:50:50+00:00,McNeese Cowboys,East Texas A&M Lions,-4000.0,1400.0,,,,,,,,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,76.31857,3.3648345
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,FanDuel,spreads,full_game,2025-12-13 01:30:00+00:00,2025-12-12 15:50:50+00:00,McNeese Cowboys,East Texas A&M Lions,,,-19.5,-110.0,19.5,-110.0,,,,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,140.03914,3.8272452
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,FanDuel,totals,full_game,2025-12-13 01:30:00+00:00,2025-12-12 15:50:50+00:00,McNeese Cowboys,East Texas A&M Lions,,,,,,,141.5,-115.0,-105.0,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,140.03914,3.8272452
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,LowVig.ag,spreads,full_game,2025-12-13 01:30:00+00:00,2025-12-12 15:50:37+00:00,McNeese Cowboys,East Texas A&M Lions,,,-20.0,-109.0,20.0,-103.0,,,,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,140.03914,3.8272452
401808702,2025.0,2025-12-12,McNeese Cowboys,East Texas A&M Lions,0.0,0.0,,,,,False,Townsley Law Arena,2025-12-13 01:30:00+00:00,,2025-12-12 20:30,EST,2025-12-13T01:30:00Z,2025-12-12,,,easttexasaandm::mcneese,2e98785af3e2a0ee89ab0e02c93c35d4,LowVig.ag,totals,full_game,2025-12-13 01:30:00+00:00,2025-12-12 15:50:37+00:00,McNeese Cowboys,East Texas A&M Lions,,,,,,,142.5,-108.0,-108.0,2025-12-13,1.0,False,140.03914,3.8272452,68.91594,76.31857,0.73952866,3.3648345,140.03914,3.8272452
401812794,2025.0,2025-12-12,UConn Huskies,Texas Longhorns,0.0,0.0,,,,,False,PeoplesBank Arena,2025-12-13 01:00:00+00:00,,2025-12-12 20:00,EST,2025-12-13T01:00:00Z,2025-12-12,,,connecticut::texas,2b53690c4348c3c141ef57c988b41bb7,BetMGM,h2h,2h,2025-12-13 01:00:00+00:00,2025-12-12 15:50:13+00:00,UConn Huskies,Texas Longhorns,-1600.0,850.0,,,,,,,,2025-12-13,1.0,False,156.42282,-0.23405886,76.01283,79.70925,2.2113028,-1.6868246,79.70925,-1.6868246
401812794,2025.0,2025-12-12,UConn Huskies,Texas Longhorns,0.0,0.0,,,,,False,PeoplesBank Arena,2025-12-13 01:00:00+00:00,,2025-12-12 20:00,EST,2025-12-13T01:00:00Z,2025-12-12,,,connecticut::texas,2b53690c4348c3c141ef57c988b41bb7,BetMGM,spreads,full_game,2025-12-13 01:00:00+00:00,2025-12-12 15:50:13+00:00,UConn Huskies,Texas Longhorns,,,-14.5,-118.0,14.5,-102.0,,,,2025-12-13,1.0,False,156.42282,-0.23405886,76.01283,79.70925,2.2113028,-1.6868246,156.42282,-0.23405886
